recipe_name,ingredient_quantity,ingredient_unit,component_name,optional,substitution,category_name,recipe_directions
Whiskey Orange,1,tsp,anisette,,,cordials and liqueurs,Shake with ice and strain into ice-filled highball glass.  Garnish with orange and lemon.
Whiskey Orange,0.5,wheel,orange,,,citrus,Shake with ice and strain into ice-filled highball glass.  Garnish with orange and lemon.
Whiskey Orange,0.5,wheel,lemon,,,citrus,Shake with ice and strain into ice-filled highball glass.  Garnish with orange and lemon.
Whiskey Rickey,1,,lime,,,citrus,Squeeze .5 oz lime juice from lime and reserve spent rinds.  Pour whiskey and lime juice into ice-filled highball glass.  Fill with soda water and stir.  Drop lime rinds into glass.
Whiskey Rickey,1.5,oz,rye whiskey,,bourbon whiskey,whiskey,Squeeze .5 oz lime juice from lime and reserve spent rinds.  Pour whiskey and lime juice into ice-filled highball glass.  Fill with soda water and stir.  Drop lime rinds into glass.
Whiskey Rickey,,,soda water,,,sodas,Squeeze .5 oz lime juice from lime and reserve spent rinds.  Pour whiskey and lime juice into ice-filled highball glass.  Fill with soda water and stir.  Drop lime rinds into glass.
Whiskey Sling,2,oz,rye whiskey,,bourbon whiskey,whiskey,Pour into ice-filled old-fashioned glass and stir.  Add lemon twist.
Whiskey Sling,1,oz,lemon,,,citrus,Pour into ice-filled old-fashioned glass and stir.  Add lemon twist.
Whiskey Sling,0.5,oz,simple syrup,,,sugars and syrups,Pour into ice-filled old-fashioned glass and stir.  Add lemon twist.
Whiskey Sling,1,twist,lemon,,,citrus,Pour into ice-filled old-fashioned glass and stir.  Add lemon twist.
Whiskey Smash,1,,sugar cube,,,sugars and syrups,Muddle sugar with soda water and mint in old-fashioned glass.  Add whiskey and then ice cubes.  Stir.  Garnish with orange and cherry and add lemon twist.
Whiskey Smash,1,oz,soda water,,,sodas,Muddle sugar with soda water and mint in old-fashioned glass.  Add whiskey and then ice cubes.  Stir.  Garnish with orange and cherry and add lemon twist.
Whiskey Smash,4,sprigs,fresh mint,,,garnish,Muddle sugar with soda water and mint in old-fashioned glass.  Add whiskey and then ice cubes.  Stir.  Garnish with orange and cherry and add lemon twist.
Whiskey Smash,2,oz,bourbon whiskey,,,whiskey,Muddle sugar with soda water and mint in old-fashioned glass.  Add whiskey and then ice cubes.  Stir.  Garnish with orange and cherry and add lemon twist.
Whiskey Smash,1,wheel,orange,,,citrus,Muddle sugar with soda water and mint in old-fashioned glass.  Add whiskey and then ice cubes.  Stir.  Garnish with orange and cherry and add lemon twist.
Whiskey Smash,1,,maraschino cherry,,,garnish,Muddle sugar with soda water and mint in old-fashioned glass.  Add whiskey and then ice cubes.  Stir.  Garnish with orange and cherry and add lemon twist.
Whiskey Smash,1,twist,lemon,,,citrus,Muddle sugar with soda water and mint in old-fashioned glass.  Add whiskey and then ice cubes.  Stir.  Garnish with orange and cherry and add lemon twist.
Whiskey Sour,2,oz,rye whiskey,,bourbon whiskey,whiskey,Shake with ice and strain into chilled cocktail glass.  Garnish with lemon and cherry.
Whiskey Sour,0.75,oz,lemon,,,citrus,Shake with ice and strain into chilled cocktail glass.  Garnish with lemon and cherry.
Whiskey Sour,0.75,oz,simple syrup,,,sugars and syrups,Shake with ice and strain into chilled cocktail glass.  Garnish with lemon and cherry.
Whiskey Sour,0.5,wheel,lemon,,,citrus,Shake with ice and strain into chilled cocktail glass.  Garnish with lemon and cherry.
Whiskey Sour,1,,maraschino cherry,,,garnish,Shake with ice and strain into chilled cocktail glass.  Garnish with lemon and cherry.
Whiskey Swizzle,2,oz,rye whiskey,,bourbon whiskey,whiskey,"Pour whiskey, lime juice, simple syrup and bitters into Collins glass.  Fill glass with ice and stir.  Add ice and fill with soda.  With barspoon between your palms, move hands back and forth to quickly rotate and lift spoon until glass is frosted."
Whiskey Swizzle,0.75,oz,lime,,,citrus,"Pour whiskey, lime juice, simple syrup and bitters into Collins glass.  Fill glass with ice and stir.  Add ice and fill with soda.  With barspoon between your palms, move hands back and forth to quickly rotate and lift spoon until glass is frosted."
Whiskey Swizzle,0.75,oz,simple syrup,,,sugars and syrups,"Pour whiskey, lime juice, simple syrup and bitters into Collins glass.  Fill glass with ice and stir.  Add ice and fill with soda.  With barspoon between your palms, move hands back and forth to quickly rotate and lift spoon until glass is frosted."
Whiskey Swizzle,2,dashes,Angustora bitters,,,bitters,"Pour whiskey, lime juice, simple syrup and bitters into Collins glass.  Fill glass with ice and stir.  Add ice and fill with soda.  With barspoon between your palms, move hands back and forth to quickly rotate and lift spoon until glass is frosted."
Whiskey Swizzle,,,soda water,,,sodas,"Pour whiskey, lime juice, simple syrup and bitters into Collins glass.  Fill glass with ice and stir.  Add ice and fill with soda.  With barspoon between your palms, move hands back and forth to quickly rotate and lift spoon until glass is frosted."
"Whoa, Nellie!",1.5,oz,straight rye whiskey,,,whiskey,Shake with ice and strain into chilled cocktail glass.  Add grapefruit twist.
"Whoa, Nellie!",0.75,oz,dark rum,,,lesser spirits,Shake with ice and strain into chilled cocktail glass.  Add grapefruit twist.
"Whoa, Nellie!",0.5,oz,lemon,,,citrus,Shake with ice and strain into chilled cocktail glass.  Add grapefruit twist.
"Whoa, Nellie!",0.5,oz,grapefruit,,,citrus,Shake with ice and strain into chilled cocktail glass.  Add grapefruit twist.
"Whoa, Nellie!",0.5,oz,simple syrup,,,sugars and syrups,Shake with ice and strain into chilled cocktail glass.  Add grapefruit twist.
"Whoa, Nellie!",1,twist,grapefruit,,,citrus,Shake with ice and strain into chilled cocktail glass.  Add grapefruit twist.
Woodward Cocktail,1.5,oz,blended scotch whiskey,,,whiskey,Shake with ice and strain into chilled cocktail glass.
Woodward Cocktail,0.5,oz,dry vermouth,,,wines,Shake with ice and strain into chilled cocktail glass.
Woodward Cocktail,0.5,oz,grapefruit,,,citrus,Shake with ice and strain into chilled cocktail glass.
